StationCode,StationName,Longitude,Latitude,Address
2379,شهید احسانی,51.54424247,35.74558957,
2381,میدان شاهد,51.54212044,35.74234228,
2383,میدان شاهد,51.54261781,35.74160329,
2385,شاهد,51.53988294,35.73737737,
2387,شاهد,51.53999765,35.7372564,
2414,کرمان,51.48009829,35.73814789,
2416,شهید اثنی عشری,51.4715027,35.73981884,
2418,شهید اثنی عشری,51.47155363,35.73958711,
2420,شهید استاد حسن بنا,51.46771641,35.7403279,
2422,شهید استاد حسن بنا,51.46762052,35.74010919,
2424,سید خندان,51.45228987,35.74167197,
2426,سید خندان,51.4522366,35.7415159,
2428,شهید دکتر آیت,51.49406423,35.73589436,
2430,شهید دکتر آیت,51.49569128,35.73553696,
2432,میدان رسالت,51.48755388,35.73694504,
2434,میدان رسالت,51.48744854,35.73677408,
2436,کرمان,51.47993904,35.73799448,
2440,پایانه افق,51.58596655,35.73026457,
2444,شهرک پارس  چهارراه تهرانپارس,51.54197087,35.76255181,
2452,شهید طاهرخانی,51.4852665,35.74352025,
2454,آزادگان,51.48569203,35.74559513,
2456,کوی نیروی دریایی,51.48601698,35.7472485,
2458,کوهک,51.4898072,35.7464767,
2460,نیروی دریایی,51.48940276,35.74438312,
2462,فرجام,51.4888446,35.74127103,
2473,رسالت شهرک شهید بهشتی,51.49060916,35.73873687,
2477,میدان رسالت میدان قدس,51.48681622,35.7371828,
2486,میدان رسالت کوهک,51.48811898,35.73753736,
2488,بتون البرز,51.57,35.76131484,
2492,رحیم پور,51.48859551,35.77608348,
2510,بتون البرز,51.57055452,35.76160256,
2520,مسجد امام علی ع,51.56174437,35.74800865,
2552,شهید عارف نسب,51.55186503,35.74960871,
2554,شهید سلطانی,51.55632362,35.74837717,
2556,شهید رجائی,51.55744159,35.74862426,
2558,دوراهی رهبر,51.56449583,35.74770545,
2560,دوراهی رهبر,51.56492941,35.74732054,
2562,مسجد حضرت علی ع,51.56000652,35.74788309,
2564,شهید زهدی,51.570387,35.74516524,
2570,میدان رسالت,51.48764824,35.73718262,
2574,میدان رسالت,51.48816247,35.73777544,
2585,هنرستان,51.51643739,35.73666796,
2587,هنرستان,51.51590112,35.73686457,
2591,ولیعصر عج,51.5105457,35.73755921,
2597,خاور,51.50194976,35.73866144,
2599,سید,51.49487544,35.73950249,
2608,احسان,51.57249355,35.7424825,
2630,بهشت,51.56379295,35.74198852,
2632,شهرک شهید بهشتی,51.56678334,35.75223989,
2634,میدان اشراق,51.54582554,35.73159554,
2636,پمپ بنزین,51.59062607,35.73651359,
2637,پمپ بنزین,51.59078571,35.73647501,
2651,شهروند,51.59251863,35.73859533,
2653,تره بار,51.59462478,35.73691202,
2661,نور,51.58650423,35.73169073,
2663,خلیج فارس,51.58962345,35.73015506,
2665,پایانه افق,51.58621563,35.72985607,
2667,پایانه افق پایانه علم و صنعت,51.58629353,35.72988475,
2669,دانشگاه خواجه نصیر,51.56499054,35.74908804,
2671,دانشگاه امام حسین ع,51.57605392,35.75662529,
2672,دانشگاه خواجه نصیر,51.56479191,35.74851694,
2682,شهرک شهید بهشتی,51.56671449,35.75210705,
2683,میدان ابوذر,51.5679745,35.74410651,
2685,شهرک شهید بهشتی میدان رسالت,51.56662262,35.75216729,
2687,انقلاب,51.56983964,35.74555355,
2689,میدان رهبر,51.56480032,35.74250673,
2691,بوستان آلاله,51.56810034,35.74426857,
2693,مسجد,51.56188189,35.74080273,
2695,مسجد,51.56178316,35.74081939,
2697,شهید حسینی,51.55638811,35.73765234,
2699,شهید حسینی,51.55568796,35.73737084,
2701,شریعتی,51.55283767,35.73573404,
2703,شریعتی,51.55243962,35.73541623,
2705,والفجر,51.54944526,35.73409942,
2707,والفجر,51.54919289,35.73394025,
2715,بانک,51.55300756,35.74887479,
2717,شهید شبستری,51.55044196,35.74921323,
2748,مبارک آباد,51.48610492,35.7698012,
2795,شهرک شهید بهشتی درب شمال,51.57549717,35.75636089,
2801,میدان رسالت,51.49007471,35.73828184,
2805,اکباتان,51.30699672,35.71440088,
2865,لیندا,51.32138538,35.7469161,
2870,پایانه مترو صادقیه  میدان صنعت,51.33060332,35.71689409,
2884,پایانه آزادی  میدان صنعت,51.33582069,35.70215618,
2888,پایانه آزادی  میدان هفت تیر,51.33597912,35.70226418,
2890,پایانه آزادی  میدان ونک,51.33606273,35.7023185,
2934,میخک یکم,51.32324204,35.74948815,
2958,مهر,51.31990227,35.74454193,
2968,مهیار,51.32131458,35.7505785,
2970,شمشاد,51.31879358,35.75134543,
2977,شکوفه,51.31749456,35.75000263,
2986,مهستان,51.317412,35.74732266,
2987,کاج,51.32131825,35.74694754,
2989,امام زاده,51.32316029,35.75000023,
2990,قانع,51.3303035,35.74076393,
2991,فرهنگ,51.3212372,35.75053872,
2992,مهشید,51.31864162,35.75132664,
2993,فرشته,51.3175882,35.75072698,
2994,پرواز,51.31948259,35.74211384,
2995,رسول اکرم,51.31947518,35.74205225,
3008,تره بار,51.32674567,35.7412214,
3040,هجرت,51.31559144,35.74681164,
3062,باغ فیض,51.31864101,35.746112,
3066,سهیل,51.32703186,35.74006052,
3076,گلدشت,51.32779407,35.73659093,
3084,شاهد,51.33113019,35.73625741,
3090,مبدا خط باغ فیض,51.31872449,35.74621152,
3092,بوستان باهنر,51.32410186,35.74156062,
3094,نیلوفر,51.32308641,35.74172705,
3098,شهید امیر ابراهیم,51.31991932,35.74466454,
3128,پایانه آزادی,51.33434056,35.70158563,
3136,اکباتان,51.30702878,35.71398836,
3155,آسمان,51.30712409,35.70958058,
3159,پایانه مترو صادقیه باغ فیض,51.33005342,35.71689752,
3163,مسجد,51.30711922,35.70685835,
3166,گلستان سوم,51.32587387,35.72767644,
3167,مگامال,51.30720131,35.70453919,
3169,صارم,51.31043143,35.71411437,
3170,بوستان غربی,51.32654111,35.73033788,
3171,B4,51.31012974,35.71293328,
3172,میعاد,51.32684098,35.73386534,
3173,میدان بسیج,51.31008846,35.71135639,
3174,بنفشه دوم,51.32700445,35.73766844,
3175,A4_2,51.31021353,35.7113546,
3177,A4_1,51.31026657,35.70972317,
3179,پاس,51.31017153,35.70945188,
3181,B2,51.31028824,35.70527688,
